Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Sonstige Energieträger;560685;e;526695;e;586118;e;8759463;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;522778029;e;488581284;e;110745084;e;3464935361;e
2009;Steinkohlen;99856803;e;91653533;e;31874449;e;991214598;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;142458893;e;130991918;e;9915600;e;1381177694;e
;Hartbraunkohlen;10247;e;8567;e;33236;e;183597;e
;Braunkohlenbriketts;22067;e;19409;e;35352;e;325060;e
;Braunkohlenkoks;1914;e;1444;e;413;e;42271;e
;Wirbelschichtkohle;239618;e;196987;e;242311;e;3535773;e
;Staub- und Trockenkohle;314561;e;275589;e;588741;e;4856882;e
;Sonstige Braunkohlen;167124;e;157465;e;31135;e;1501231;e
;Dieselkraftstoff;1683;e;1549;e;2;e;20534;e
;Heizöl, leicht;522040;e;474549;e;484047;e;7929145;e
;Heizöl, schwer;589551;e;538658;e;184276;e;6141081;e
;Flüssiggas;12;e;12;e;1956;e;9408;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;765742;e;705991;e;31823;e;7119071;e
;Sonstige Mineralölprodukte;1617856;e;1477066;e;34299;e;14591948;e
;Erdgas, Erdölgas;59481233;e;57599005;e;49791026;e;567165594;e
;Grubengas;375202;e;369769;e;80527;e;3448497;e
;Kokereigas;411747;e;383720;e;5726;e;3818351;e
;Hochofengas;1347407;e;1241735;e;8100;e;12820025;e
;Sonstige hergestellte Gase;26124;e;26124;e;52291;e;299804;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;14647873;e;14373719;e;-;;-;
;Speicherwasser;747246;e;740526;e;-;;-;
;Pumpspeicherwasser;6049476;e;5925453;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;449581;e;448286;e;-;;-;
;Photovoltaik;20704;e;20704;e;13;e;-;
;Geothermie;13552;e;9482;e;44074;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;3195719;e;2898048;e;2669381;e;47477180;e
;Flüssige biogene Stoffe;61369;e;58202;e;64297;e;683722;e
