Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
BMW;X4 xDrive20d Steptronic;D;140;63000;125,1;90,8;73,8;57,9;18;Mittelklasse-SUV 
BMW;M5 Touring xDrive Steptronic;SP/E;535;146000;240,4;171,9;138,7;108,5;18;Obere Mittelklasse 
BMW;X1 xDrive25e Steptronic (DKG);SP/E;180;51000;95,5;70,4;57,4;45,7;18;Kompakt-SUV
BMW;X1 sDrive18i Steptronic (DKG);SP;100;44600;94,6;71,5;59,5;48,8;18;Kompakt-SUV
BMW;X1 sDrive18d Steptronic (DKG);D;110;47200;99,4;72,7;59,3;46,8;18;Kompakt-SUV
BMW;X3 30e xDrive Steptronic;SP/E;220;66000;116,3;85,2;69,6;55,2;18;Mittelklasse-SUV
BMW;X3 20i xDrive Steptronic;SP;153;59400;115,3;85,9;71,1;57,6;18;Mittelklasse-SUV
BMW;X3 20d xDrive Steptronic;D;145;61900;121,8;88,7;72,3;57,1;18;Mittelklasse-SUV
BMW;X5 xDrive50e Steptronic Sport;SP/E;360;97300;163,8;119,3;97,8;77,4;18;Oberklasse-SUV
Citroën;C5 Aircross Plug-In-Hybrid 225 Stop&Start Plus e-EAT8;S/E;165;47500;87,1;63,6;52,4;40,9;18;Kompakt-SUV
Citroën;C4 PureTech 130 Plus EAT8;S;96;25350;67;51,6;43,9;36,3;18;Kompaktklasse
Citroën;C5 Aircross BlueHDi 130 Stop&Start Max EAT8;D;96;36160;80;59,3;49,3;39,2;18;Kompakt-SUV
Citroën;e-Berlingo M Plus;E;100;36940;76,6;56;45,8;35,2;18;Hochdachkombi / Kompaktvan
Citroën;e-C3 Aircross You;E;83;26490;56,4;41,8;34,3;26,8;18;Kleinwagen-SUV
Citroën;C3 Aircross Turbo 100 You;S;74;18790;58,7;45,4;38,8;32,5;18;Kleinwagen-SUV
Citroën;e-C3 You;E;83;23300;54,1;40;32,8;25,5;18;Kleinwagen
Citroën;C3 Turbo 100 You;S;74;15990;54,6;41,4;35,9;29,3;18;Kleinwagen
